,trackName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
53,American Boy,0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932,audio_features,22UDw8rSfLbUsaAGTXQ4Z8,spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,https://api.spotify.com/v1/tracks/22UDw8rSfLbUsaAGTXQ4Z8,Little Mix,284733,4
54,Sugar,0.453,0.538,1,-8.212,1,0.0638,0.449,0,0.19,0.516,122.973,audio_features,6U0FIYXCQ3TGrk4tFpLrEA,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/tracks/6U0FIYXCQ3TGrk4tFpLrEA,Maroon 5,204533,4
55,Body Like A Back Road,0.731,0.497,5,-6.547,1,0.0322,0.489,1.64e-06,0.0816,0.657,98.959,audio_features,0riAX4AaPEvwHpSNpl6qRB,spotify:track:0riAX4AaPEvwHpSNpl6qRB,https://api.spotify.com/v1/tracks/0riAX4AaPEvwHpSNpl6qRB,Sam Hunt,165720,4
56,Take Me To Church,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,Hozier,241688,4
57,Georgia,0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,audio_features,6Fha6tXHkL3r9m9nNqQG8p,spotify:track:6Fha6tXHkL3r9m9nNqQG8p,https://api.spotify.com/v1/tracks/6Fha6tXHkL3r9m9nNqQG8p,Vance Joy,230507,4
58,"Ghungroo (From ""War"")",0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,audio_features,0WdbnNKO0Jt4BZACSDQh44,spotify:track:0WdbnNKO0Jt4BZACSDQh44,https://api.spotify.com/v1/tracks/0WdbnNKO0Jt4BZACSDQh44,Arijit Singh,302935,4
59,Is Your Love Enough?,0.762,0.854,0,-2.757,0,0.0818,0.00642,1.11e-06,0.131,0.615,105.969,audio_features,6W6ijKiufUsBBcgJPKis6T,spotify:track:6W6ijKiufUsBBcgJPKis6T,https://api.spotify.com/v1/tracks/6W6ijKiufUsBBcgJPKis6T,Little Mix,224600,4
60,Payphone,0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,audio_features,1XGmzt0PVuFgQYYnV2It7A,spotify:track:1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/tracks/1XGmzt0PVuFgQYYnV2It7A,Maroon 5,231173,4
61,Truthfully,0.723,0.643,8,-6.861,1,0.0351,0.32,0,0.332,0.548,102.015,audio_features,2lBqyCeue1bCd6HCZtKXHu,spotify:track:2lBqyCeue1bCd6HCZtKXHu,https://api.spotify.com/v1/tracks/2lBqyCeue1bCd6HCZtKXHu,DNCE,182653,4
62,Think About Us (feat. Ty Dolla $ign),0.511,0.795,8,-3.714,1,0.146,0.0845,0,0.102,0.432,175.987,audio_features,18n2GdCpsHYzkbMKPavE7Y,spotify:track:18n2GdCpsHYzkbMKPavE7Y,https://api.spotify.com/v1/tracks/18n2GdCpsHYzkbMKPavE7Y,Little Mix,234434,4
63,Last Young Renegade,0.582,0.843,2,-5.596,1,0.0401,0.00111,0,0.102,0.446,128.994,audio_features,66hOCG7IpEJI5wfLDhajxD,spotify:track:66hOCG7IpEJI5wfLDhajxD,https://api.spotify.com/v1/tracks/66hOCG7IpEJI5wfLDhajxD,All Time Low,214093,4
64,Shotgun,0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,audio_features,4ofwffwvvnbSkrMSCKQDaC,spotify:track:4ofwffwvvnbSkrMSCKQDaC,https://api.spotify.com/v1/tracks/4ofwffwvvnbSkrMSCKQDaC,George Ezra,201287,4
65,Power,0.538,0.642,10,-4.412,1,0.127,0.104,0,0.112,0.47,161.803,audio_features,40OH2skV7aIFO1c9q7B6wE,spotify:track:40OH2skV7aIFO1c9q7B6wE,https://api.spotify.com/v1/tracks/40OH2skV7aIFO1c9q7B6wE,Little Mix,191787,4
66,Thnks fr th Mmrs,0.459,0.891,10,-5.057,0,0.0623,0.00511,0,0.106,0.588,154.837,audio_features,3Zwu2K0Qa5sT6teCCHPShP,spotify:track:3Zwu2K0Qa5sT6teCCHPShP,https://api.spotify.com/v1/tracks/3Zwu2K0Qa5sT6teCCHPShP,Fall Out Boy,203507,4
67,Free Bird,0.168,0.894,0,-4.267,1,0.0601,0.0015,0.00896,0.0642,0.378,151.855,audio_features,6CosyyANTKr1WY6aEeENSw,spotify:track:6CosyyANTKr1WY6aEeENSw,https://api.spotify.com/v1/tracks/6CosyyANTKr1WY6aEeENSw,Lynyrd Skynyrd,547600,4
68,Ritual,0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,audio_features,3M9Apu4OZfylLTFKvgEtKa,spotify:track:3M9Apu4OZfylLTFKvgEtKa,https://api.spotify.com/v1/tracks/3M9Apu4OZfylLTFKvgEtKa,Black Veil Brides,198996,4
69,Seeing Blind,0.716,0.555,9,-7.57,1,0.0368,0.0395,0,0.105,0.485,93.974,audio_features,65wnZsZLKJimfK1cTFOfa1,spotify:track:65wnZsZLKJimfK1cTFOfa1,https://api.spotify.com/v1/tracks/65wnZsZLKJimfK1cTFOfa1,Niall Horan,185281,4
70,Story of My Life,0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,audio_features,4nVBt6MZDDP6tRVdQTgxJg,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/tracks/4nVBt6MZDDP6tRVdQTgxJg,One Direction,245493,4
71,Black Magic,0.777,0.895,4,-4.464,1,0.0618,0.0348,0,0.317,0.826,111.987,audio_features,5y6pj7OeBFF0CVgZKhRbOG,spotify:track:5y6pj7OeBFF0CVgZKhRbOG,https://api.spotify.com/v1/tracks/5y6pj7OeBFF0CVgZKhRbOG,Little Mix,211773,4
